go,z1,z2,z3,z4,t,p,nparts,sum_scores_1,sum_scores_2,sum_scores_3,sum_scores_4,m_score,wishart_p
GO:0000109,-0.5632664345629168,-0.7629988291561964,-1.2194250712987547,0.5360764731553997,2.673811779181653,,1,0,0,0,1,0,5515
GO:0000110,-0.7969845179227881,-1.079592563513171,-1.7254053196799228,0.7585125321004402,5.3530692035347585,,2,0,0,0,2,0,5515
GO:0000118,1.7265630072900078,0.809345354349031,-0.3959870173742069,-0.7328011644338572,4.329862985273212,,3,2,1,0,0,0,5515
GO:0000120,-0.5632664345629168,-0.7629988291561964,-1.2194250712987547,0.5360764731553997,2.673811779181653,,1,0,0,0,1,0,5515
GO:0000121,-0.5632664345629168,-0.7629988291561964,1.2630198508007724,-0.7091846525569561,2.9975983045380836,,1,0,0,1,0,0,5515
GO:0000122,-1.0532317577111512,0.045737939448990295,-0.3061119929716243,-0.4981776491591432,1.4532746169191515,4674.258142683259,55,10,15,16,17,115.70375556842477,0.00000000000000020720169986948482
GO:0000123,0.8575149876384429,-0.6181026222963514,0.7190034513358476,-0.8151982375486191,2.2988969352494193,,2,1,0,1,0,0,5515
GO:0000124,-0.9766000781091453,1.4336020628500825,-0.9263875339359018,-0.1314606124011073,3.8844383428155176,,3,0,2,0,1,0,5515
GO:0000132,-1.1282558365396764,3.2485039530509763,-0.3840786036350212,-0.7647089732912802,12.558035353276095,,4,0,4,0,0,0,5515
GO:0000139,-1.636148055337623,-0.5365360746539711,0.9956151591569012,-1.2464691422002974,5.509786285990742,1521.5344178370103,64,10,16,24,17,137.85294522298722,0.000000000000000000006398187172554725
GO:0000146,-0.7969845179227881,0.6075531372072045,0.7578905749266531,-0.7718145313207625,2.174400930659475,,2,0,1,1,0,0,5515
GO:0000149,2.4454709365328,0.17027737111883257,-0.981487770491732,-0.6622594828170911,7.411228350747739,3548.4890278037055,6,4,1,0,1,16.020311864081386,546.274121419357
GO:0000151,-0.21407304884077044,0.7200761610052318,-0.26287537783066905,2.491011109157923,6.838576758105817,4407.290004625912,5,1,2,1,3,121.1997461899764,0.000000000000000015928113387782545
GO:0000165,-1.5890473690414266,-0.32600473943735586,1.7298009581522882,-1.7089672584724913,8.544131076548656,1238.0750831116454,15,1,4,8,2,37.95082927994285,0.21346902126919573
GO:0000166,0.8575149876384429,1.069043078424024,-0.3101950050561724,-0.5835636837575797,2.3149525717133885,,2,1,1,0,0,0,5515
GO:0000172,-0.7969845179227881,-1.079592563513171,1.787089031318673,-1.003449085111802,6.001301697272783,,2,0,0,2,0,0,5515
GO:0000184,-0.9139843324827622,-2.080040066787187,-2.516818433725593,0.8703011294900973,12.253733123796692,1358.6845549942857,9,1,0,1,7,15.76990376918271,586.8585821736882
GO:0000209,-1.8777187954284837,0.3473316947052397,0.18996205942022887,3.3703990055729127,15.042142221638263,688.4730998788707,11,0,4,4,7,149.57983606078975,0.0000000000000000000000250837704168074
GO:0000220,-0.21407304884077044,-0.3486021200450342,-0.7234053575731472,1.3476674935491466,2.5068736928744464,5156.987135873937,5,1,1,1,3,17.818114308698807,320.47888758507474
GO:0000221,0.37498146459043125,-0.9459022391784563,1.3173108009899952,2.9341971711690107,11.38016293057034,,3,1,0,2,2,0,5515
GO:0000226,-1.0921177081018472,0.25709341136442493,-0.6291188558861123,1.0044614017996087,2.6635513530533146,3939.722318734717,16,2,5,4,7,41.91079395906188,0.04289426723813299
GO:0000228,-1.1282558365396764,-1.528331584210989,2.529903134450433,-1.4205386196190468,12.027098503514027,,4,0,0,4,0,0,5515
GO:0000242,-0.7969845179227881,2.2946988379275797,-0.2713078814653671,-0.5401799775297234,6.266229453264037,,2,0,2,0,0,0,5515
