go,z1,z2,z3,z4,t,p,nparts,sum_scores_1,sum_scores_2,sum_scores_3,sum_scores_4,m_score,wishart_p
GO:0031491,-0.5345966714184823,2.222689281500768,-0.06677574881868098,-0.024236867511811533,5.231187669567201,,1,0,2,0,0,0,5515
GO:0031492,-0.7564187111277173,-0.9671408095862676,0.5891368146853098,-1.496088071919627,4.092892317469038,,2,0,0,2,0,0.0013912189646297255,5515
GO:0031510,-0.9268919982233768,-1.1851043137527986,-1.6965343778514108,-0.3872552666677891,5.291796547639631,,3,0,0,0,3,0.0020889556930678956,5515
GO:0031514,-0.2115305015508887,0.36079034666510934,-0.3760374744115156,-0.772857990972033,0.9136284837042188,5383.363385469478,6,2,3,2,2,11.663569352428253,1699.7412508835293
GO:0031515,-0.7564187111277173,-0.9671408095862676,-1.3845090365846062,1.7756216856186033,6.577228254934781,,2,0,0,0,4,0.0013912189646297255,5515
GO:0031519,-0.1493457695347129,2.3542425204359207,-0.4129908968497388,-0.560569985271844,6.049562193174822,,3,1,4,0,0,15.30413489759645,669.3047601014697
GO:0031523,-0.5345966714184823,-0.6835238869580222,1.8112390170069723,-0.41308750418014684,4.204226567972092,,1,0,0,2,0,0,5515
GO:0031526,1.5417135886715239,-0.8424248487410569,-0.46316218630322287,-1.8755796882583535,6.818878793099305,2539.483283025207,9,7,1,3,1,10.507551888308189,2190.2644030855004
GO:0031527,-0.7564187111277173,-0.9671408095862676,0.5891368146853098,0.595565179676176,2.2093106817715666,,2,0,0,2,2,27.886339938005204,10.38168419572616
GO:0031528,1.6240444177780335,-0.744859887195104,-1.1638606523269384,-0.3652355086313064,4.680305117268351,,4,4,0,0,2,7.741662794915779,3607.1098664297683
GO:0031529,-0.5345966714184823,-0.6835238869580222,0.41637068928570714,-1.0573557893679402,2.044364321340079,,1,0,0,1,0,0,5515
GO:0031530,-0.5345966714184823,-0.6835238869580222,0.41637068928570714,-1.0573557893679402,2.044364321340079,,1,0,0,1,0,0,5515
GO:0031533,2.1561609995574083,-0.060198519470793965,-0.18358567411322918,-0.14132338683140033,4.706330117163985,,1,2,0,0,0,0,5515
GO:0031547,-0.7564187111277173,-0.9671408095862676,2.562782665955226,-0.5844913262662514,8.417015715512356,,2,0,0,4,0,0.0013912189646297255,5515
GO:0031571,-0.7564187111277173,-0.9671408095862676,0.5891368146853098,0.595565179676176,2.2093106817715666,,2,0,0,2,2,27.886339938005204,10.38168419572616
GO:0031573,-0.5345966714184823,0.7695826972713727,-0.5226366936271196,-0.8629304710337725,1.895849240395259,,1,0,1,0,0,0,5515
GO:0031588,-0.3971103551059272,-1.2130689181107492,2.430048641724842,-1.0820204826971955,8.705137560343761,,4,1,0,6,0,7.749940216643525,3602.659811975585
GO:0031593,0.007965137111391126,0.7013291342024353,-1.2233817763325467,-1.985978643597187,5.932700141377042,4544.982953278126,5,2,3,0,0,2.187396014138203,5485.724273884218
GO:0031594,0.007965137111391126,-0.6010213538926664,0.868360291238855,-0.2579027347450746,1.1818535272335946,5397.999524341782,5,2,1,4,2,17.9138186896993,311.23855925460634
GO:0031597,-0.7564187111277173,0.0608837445673617,-1.0620025875540469,-0.7685103760060316,2.2943337908970847,,2,0,1,0,1,1.853811135245855,5500.34513317403
GO:0031616,-0.5345966714184823,0.7695826972713727,-0.5226366936271196,-0.8629304710337725,1.895849240395259,,1,0,1,0,0,0,5515
GO:0031623,0.628200459153951,-0.8248605846622554,-1.237124148037473,1.3688515549111706,4.479261538050768,,3,2,0,0,4,17.373244417793938,366.76046694521415
GO:0031624,-0.7564187111277173,2.11693285287462,-0.4169896894929286,-0.6276413702657945,5.621388060936527,,2,0,3,0,0,2.208428349450409,5484.549782353846
GO:0031625,-1.7438647894997634,-1.7288441008570574,1.417256120394407,-1.2441823554157407,9.586570973448566,443.421406768332,47,10,12,33,22,134.45708678728928,0.00000000000000000003167989677444087
GO:0031627,-0.5345966714184823,2.222689281500768,-0.06677574881868098,-0.024236867511811533,5.231187669567201,,1,0,2,0,0,0,5515
GO:0031630,-0.5345966714184823,-0.6835238869580222,-0.9784976384355584,-0.22335436808893955,1.7603433073022983,,1,0,0,0,1,0,5515
GO:0031639,-0.7564187111277173,1.0889082987209908,-0.7394961385234877,-1.2209891860348638,3.795559680872789,,2,0,2,0,0,0.0013912189646297255,5515
GO:0031640,-0.5345966714184823,2.222689281500768,-0.06677574881868098,-0.024236867511811533,5.231187669567201,,1,0,2,0,0,0,5515
GO:0031641,-0.9268919982233768,-1.1851043137527986,-0.8903862661609387,0.8394411604845484,3.7610501757296806,,3,0,0,1,4,8.81821427530304,3030.152608883687
GO:0031644,-0.5345966714184823,-0.6835238869580222,1.8112390170069723,-0.41308750418014684,4.204226567972092,,1,0,0,2,0,0,5515
GO:0031647,0.007965137111391126,-0.6010213538926664,0.2432831402741982,0.11583521739926961,0.4338945951757882,5494.510924923315,5,2,1,3,3,28.44832724779018,8.435704482410836
GO:0031648,-1.070828612733914,0.08619043232803622,1.9890740161435465,-0.955342743234385,6.023197907222551,,4,0,2,5,0,15.639074583515628,609.0820234865503
GO:0031663,-0.9268919982233768,-0.34529807134193663,0.17922143705320898,-0.012196026319469977,1.0106286010003886,,3,0,1,2,2,14.082770742515574,933.411263709788
GO:0031665,-0.7564187111277173,1.0889082987209908,-0.7394961385234877,0.8706640655609391,3.0628010035178117,,2,0,2,0,2,29.74335692068381,5.203176321972106
GO:0031667,-0.7564187111277173,-0.9671408095862676,1.5759597403202676,-1.0402896990929393,5.073382373260502,,2,0,0,3,0,1.347252412215554,5511.346613147929
GO:0031669,-1.4187463179692883,-0.16125912416014154,0.5658191338818537,-2.3406867879584214,7.837811551466235,2912.3998660181046,7,0,3,5,0,5.127602514874433,4866.946447855387
GO:0031670,-0.5345966714184823,-0.6835238869580222,0.41637068928570714,-1.0573557893679402,2.044364321340079,,1,0,0,1,0,0,5515
GO:0031674,1.1472028022985585,1.529890254179907,-0.17712237559183336,-0.11712837069484566,3.7017298505932508,,2,2,2,0,0,38.89961242950237,0.1457996928897981
GO:0031683,-0.5345966714184823,-0.6835238869580222,-0.9784976384355584,1.2549153383778542,3.2852686400538933,,1,0,0,0,2,0,5515
GO:0031698,2.1561609995574083,-0.060198519470793965,-0.18358567411322918,-0.14132338683140033,4.706330117163985,,1,2,0,0,0,0,5515
GO:0031702,-0.5345966714184823,-0.6835238869580222,1.8112390170069723,-0.41308750418014684,4.204226567972092,,1,0,0,2,0,0,5515
GO:0031718,-0.7564187111277173,-0.9671408095862676,0.5891368146853098,-1.496088071919627,4.092892317469038,,2,0,0,2,0,0.0013912189646297255,5515
GO:0031799,2.1561609995574083,-0.060198519470793965,-0.18358567411322918,-0.14132338683140033,4.706330117163985,,1,2,0,0,0,0,5515
GO:0031800,2.1561609995574083,-0.060198519470793965,-0.18358567411322918,-0.14132338683140033,4.706330117163985,,1,2,0,0,0,0,5515
GO:0031848,-0.5345966714184823,2.222689281500768,-0.06677574881868098,-0.024236867511811533,5.231187669567201,,1,0,2,0,0,0,5515
GO:0031860,-0.5345966714184823,2.222689281500768,-0.06677574881868098,-0.024236867511811533,5.231187669567201,,1,0,2,0,0,0,5515
GO:0031901,-0.1512398902812194,2.5029319031998836,0.292277852337001,-0.5081397954444482,6.631174011149122,2226.972468112792,11,4,10,4,2,30.628271136132568,3.7261770623221895
GO:0031902,0.8897711573172301,1.2106543004573171,0.13589204438213714,-1.0010559346335102,3.277956179600766,4650.220157960064,6,4,4,2,0,20.53285868230751,135.65262939599137
GO:0031904,-0.9268919982233768,-1.1851043137527986,3.1403542922914207,-0.7162175199757641,12.638393627879408,,3,0,0,6,0,0.0020889556930678956,5515
GO:0031905,-0.5345966714184823,0.7695826972713727,-0.5226366936271196,-0.8629304710337725,1.895849240395259,,1,0,1,0,0,0,5515
GO:0031915,-0.7564187111277173,-0.9671408095862676,-0.3976861109496483,0.13976680684948828,1.6852196152504562,,2,0,0,1,2,13.239959159308487,1161.2560538381979
GO:0031929,-1.4187463179692883,-0.16125912416014154,-0.4918349870707309,-0.5874151433041481,2.625803824966209,4660.354907103981,7,0,3,3,4,13.69028273163774,1034.576577432123
GO:0031931,-1.4187463179692883,-0.16125912416014154,0.036992073405561265,-2.5849438957031787,8.72214897730428,2710.0236981274866,7,0,3,4,0,2.6225785604382494,5454.150358071194
GO:0031932,-0.9268919982233768,-1.1851043137527986,0.7219099572200052,-1.8332598626921104,6.145596721337302,,3,0,0,3,0,0.0020889556930678956,5515
GO:0031941,-0.5345966714184823,-0.6835238869580222,0.41637068928570714,-1.0573557893679402,2.044364321340079,,1,0,0,1,0,0,5515
GO:0031943,-0.5345966714184823,-0.6835238869580222,-0.9784976384355584,-0.22335436808893955,1.7603433073022983,,1,0,0,0,1,0,5515
GO:0031952,-0.5345966714184823,-0.6835238869580222,-0.9784976384355584,1.2549153383778542,3.2852686400538933,,1,0,0,0,2,0,5515
GO:0031953,-0.5345966714184823,-0.6835238869580222,-0.9784976384355584,1.2549153383778542,3.2852686400538933,,1,0,0,0,2,0,5515
GO:0031959,-0.5345966714184823,-0.6835238869580222,1.8112390170069723,-0.41308750418014684,4.204226567972092,,1,0,0,2,0,0,5515
GO:0031965,-0.3686502142846848,-1.4442298587599343,0.020934097260666418,0.8812147633377522,2.9986805609784124,3625.3442442439195,18,6,3,10,14,68.31002561983466,0.0000005177679712160375
GO:0031966,-0.2594691614059822,-0.7733244763177521,-0.37583767360595993,0.05017557273697723,0.809126536393873,5329.811826256849,9,3,2,4,6,18.746176608332533,240.4959761620249
