go,z,t,p,nparts,nhits
GO:0008048,-0.7152430383487386,0.5115726039063353,0.5139873195200801,5,0
GO:0008049,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008050,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008052,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008053,-1.2798346409557382,1.6379767081903036,0.22004416934447968,16,0
GO:0008057,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008061,-0.9047899705162633,0.8186448907468208,0.3956486368249451,8,0
GO:0008063,-0.8463313363113086,0.7162767308224856,0.4298235810047297,7,0
GO:0008064,-0.7152430383487386,0.5115726039063353,0.5139873195200801,5,0
GO:0008065,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0008066,-1.197112904939893,1.4330793071736296,0.25263677633235493,14,0
GO:0008068,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008073,1.4359263503022568,2.061884483492359,0.2875270489439952,3,1
GO:0008074,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008076,-0.7815329125092387,0.6107936933351734,0.4369824777850462,75,5
GO:0008078,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0008079,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008080,-0.021622830296500428,0.0004675467900312567,0.9831741931414335,11,1
GO:0008081,-0.2756922919741385,0.07600623985395367,0.7871180755787773,14,1
GO:0008083,-0.9405956390720124,0.8847201562412874,0.3483851701754531,155,11
GO:0008088,-0.6397160569659002,0.40923663353999873,0.5678593191257792,4,0
GO:0008089,0.9918660474039454,0.9837982559927259,0.33040458842086284,27,4
GO:0008090,0.07848627606371505,0.00616009553034969,0.939158569073999,10,1
GO:0008091,-0.959699840522511,0.9210237838989329,0.3653094155484776,9,0
GO:0008092,-1.1542666266116908,1.3323314453095327,0.25448419196566563,46,2
GO:0008093,1.6530996634723292,2.732738497372328,0.1147390806178815,20,4
GO:0008094,3.400083479573069,11.560567668065708,0.0020420872420702607,29,8
GO:0008097,0.3139432167601602,0.09856034334971694,0.7627132480967307,8,1
GO:0008104,1.8506888901653893,3.4250493681816008,0.06669426811079023,120,17
GO:0008106,1.4359263503022568,2.061884483492359,0.2875270489439952,3,1
GO:0008107,1.9847592793287976,3.9392693968817687,0.29711964046666683,2,1
GO:0008108,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008109,1.4359263503022568,2.061884483492359,0.2875270489439952,3,1
GO:0008111,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008112,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008113,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008115,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008116,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008117,3.1266328314641285,9.775832862789398,,1,1
GO:0008118,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008119,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008120,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008121,2.3676927366591274,5.60596889522839,0.07701428374129875,5,2
GO:0008123,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008124,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008126,-0.6397160569659002,0.40923663353999873,0.5678593191257792,4,0
GO:0008127,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008131,-0.7152430383487386,0.5115726039063353,0.5139873195200801,5,0
GO:0008134,1.7540996383893508,3.076865541397652,0.08498388084651795,56,9
GO:0008135,2.2959474335022283,5.2713746174054705,0.032620181752464526,21,5
GO:0008137,0.4997581074861115,0.24975816599809986,0.6205615096648358,34,4
GO:0008138,1.1634392063970702,1.3535907869818447,0.25325354654934795,33,5
GO:0008139,1.4397990685846025,2.0730213578970886,0.16466606581713683,22,4
GO:0008140,2.487488519449557,6.1875991343933485,0.03766939154564035,9,3
GO:0008142,1.5326764040365837,2.349096959490513,0.16921991894499513,8,2
GO:0008143,2.4262008571543014,5.886450599256266,0.022805483635101625,26,6
GO:0008146,-0.03747345903720995,0.0014042601322134523,0.970340306285922,33,3
GO:0008147,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008150,-0.22868923163808796,0.05229876466721907,0.819218182919563,435,39
GO:0008152,-0.9047899705162633,0.8186448907468208,0.3956486368249451,8,0
GO:0008154,-0.6600116360955119,0.43561535978147464,0.5171682294070883,20,1
GO:0008156,1.3060311433468421,1.70571734739186,0.21121629489984928,16,3
GO:0008157,-0.030588121701080318,0.0009356331892001007,0.9758868635074524,22,2
GO:0008158,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0008160,3.1266328314641285,9.775832862789398,,1,1
GO:0008168,0.7909976380066325,0.6256772633320716,0.43822557388095484,21,3
GO:0008169,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008170,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0008171,0.3139432167601602,0.09856034334971694,0.7627132480967307,8,1
GO:0008172,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008173,-0.7835300265070486,0.6139193024381364,0.46878731672782725,6,0
GO:0008174,3.1266328314641285,9.775832862789398,,1,1
GO:0008175,-0.7835300265070486,0.6139193024381364,0.46878731672782725,6,0
GO:0008176,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008177,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0008179,0.882138576466476,0.7781684680903007,0.3965694031989836,12,2
GO:0008180,-0.4178793795215447,0.17462317582931122,0.6819558466140354,16,1
GO:0008184,1.4359263503022568,2.061884483492359,0.2875270489439952,3,1
GO:0008186,1.7593615284406494,3.095352987757018,0.12900911887105562,7,2
GO:0008187,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008188,-0.8156971817013531,0.6653618922355302,0.4234172652338034,23,1
GO:0008190,2.487488519449557,6.1875991343933485,0.03766939154564035,9,3
GO:0008191,0.44407588191264874,0.1972033888964968,0.6633271589622565,16,2
GO:0008192,3.1266328314641285,9.775832862789398,,1,1
GO:0008193,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008194,0.07848627606371505,0.00616009553034969,0.939158569073999,10,1
GO:0008195,1.4359263503022568,2.061884483492359,0.2875270489439952,3,1
GO:0008198,1.7498501434622176,3.061975524574743,0.09241092939777365,26,5
GO:0008199,2.25873677446246,5.101891816309077,0.05028029322164435,10,3
GO:0008200,-0.6397160569659002,0.40923663353999873,0.5678593191257792,4,0
GO:0008201,-1.0306672563419623,1.0622749932954685,0.30427201401641113,159,11
GO:0008202,-0.5634437503187067,0.31746885977320916,0.5760594253242719,44,3
GO:0008203,0.856124078369727,0.7329484375644146,0.3947306599403573,74,9
GO:0008206,-0.34896184618659504,0.12177437009395678,0.7323106287975862,15,1
GO:0008207,-0.7152430383487386,0.5115726039063353,0.5139873195200801,5,0
GO:0008209,0.2678628458495725,0.07175050418663184,0.7920278489637425,18,2
GO:0008210,0.13601354489059453,0.018499684393705782,0.8927503586820641,30,3
GO:0008211,0.45651509606467044,0.2084060329349353,0.6640790992388472,7,1
GO:0008216,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008217,0.20798254489961274,0.04325673898291942,0.8358552709089742,70,7
GO:0008219,0.6236680749290999,0.3889618676857694,0.5601906995237584,6,1
GO:0008228,-0.9047899705162633,0.8186448907468208,0.3956486368249451,8,0
GO:0008233,-1.7082320942923592,2.9180568879704607,0.09151999967931146,80,3
GO:0008234,-0.22071697769893406,0.04871598424455176,0.8271797129360666,25,2
GO:0008235,-0.021622830296500428,0.0004675467900312567,0.9831741931414335,11,1
GO:0008236,-1.0467357007594797,1.0956556272444398,0.299718530017252,57,3
GO:0008237,-0.8373561807707138,0.7011653734749164,0.4063771088096628,51,3
GO:0008238,1.083652270410898,1.1743022431666936,0.35783769368441276,4,1
GO:0008239,0.07848627606371505,0.00616009553034969,0.939158569073999,10,1
GO:0008240,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0008241,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008242,3.4258485396253464,11.73643821645312,0.075661398939392,3,2
GO:0008247,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0008250,1.714998253958391,2.9412190110803293,0.11202902821218517,13,3
GO:0008251,-0.7835300265070486,0.6139193024381364,0.46878731672782725,6,0
GO:0008252,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008253,-0.959699840522511,0.9210237838989329,0.3653094155484776,9,0
GO:0008260,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008263,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008265,3.1266328314641285,9.775832862789398,,1,1
GO:0008266,2.3193159333506403,5.3792263986941515,0.028498483222606237,27,6
GO:0008269,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0008270,3.7877304464268504,14.34690193478895,0.0001637977823874858,776,102
GO:0008271,-0.8463313363113086,0.7162767308224856,0.4298235810047297,7,0
GO:0008272,-0.11305724957314509,0.012781941681044415,0.9120220972557135,12,1
